subject,test_acc,model
1,0.9097222222222222,UnifiedEEGNet
2,0.6666666666666666,UnifiedEEGNet
3,0.9513888888888888,UnifiedEEGNet
4,0.84375,UnifiedEEGNet
5,0.7256944444444444,UnifiedEEGNet
6,0.7395833333333334,UnifiedEEGNet
7,0.8958333333333334,UnifiedEEGNet
8,0.8958333333333334,UnifiedEEGNet
9,0.8923611111111112,UnifiedEEGNet
mean,0.8356,UnifiedEEGNet
1,0.8923611111111112,FreqAwareEEGNet_v2
2,0.6840277777777778,FreqAwareEEGNet_v2
3,0.9340277777777778,FreqAwareEEGNet_v2
4,0.8159722222222222,FreqAwareEEGNet_v2
5,0.7326388888888888,FreqAwareEEGNet_v2
6,0.7152777777777778,FreqAwareEEGNet_v2
7,0.9166666666666666,FreqAwareEEGNet_v2
8,0.8645833333333334,FreqAwareEEGNet_v2
9,0.8888888888888888,FreqAwareEEGNet_v2
mean,0.8272,FreqAwareEEGNet_v2
1,0.9097222222222222,FreqAwareEEGNet_v3_gated
2,0.6805555555555556,FreqAwareEEGNet_v3_gated
3,0.9479166666666666,FreqAwareEEGNet_v3_gated
4,0.8298611111111112,FreqAwareEEGNet_v3_gated
5,0.7361111111111112,FreqAwareEEGNet_v3_gated
6,0.7395833333333334,FreqAwareEEGNet_v3_gated
7,0.8888888888888888,FreqAwareEEGNet_v3_gated
8,0.8715277777777778,FreqAwareEEGNet_v3_gated
9,0.8715277777777778,FreqAwareEEGNet_v3_gated
mean,0.8306,FreqAwareEEGNet_v3_gated
